policy,(All),,,,,
losscause_desc,(All),,,,,
,,,,,,
Sum of indemnity_paid,Column Labels,,,,,
PICAYUNE,,"27,278",,,,"27,278"
MS,,"27,278",,,,"27,278"
99337,,,,"27,258",,"27,258"
KENNEWICK,,,,"27,258",,"27,258"
WA,,,,"27,258",,"27,258"
97420,"23,510",,,,"3,406","26,916"
COOS BAY,"23,510",,,,"3,406","26,916"
OR,"23,510",,,,"3,406","26,916"
90034,,,,"26,051",,"26,051"
LOS ANGELES,,,,"26,051",,"26,051"
CA,,,,"26,051",,"26,051"
83847,,,,,"25,672","25,672"
NAPLES,,,,,"25,672","25,672"
ID,,,,,"25,672","25,672"
36611,,"25,545",,,,"25,545"
CHICKASAW,,"25,545",,,,"25,545"
AL,,"25,545",,,,"25,545"
31768,,"25,480",,,,"25,480"
MOULTRIE,,"25,480",,,,"25,480"
GA,,"25,480",,,,"25,480"
70094,,,"25,289",,,"25,289"
WESTWEGO,,,"25,289",,,"25,289"
LA,,,"25,289",,,"25,289"
74601,,"25,000",,,,"25,000"
PONCA CITY,,"25,000",,,,"25,000"
OK,,"25,000",,,,"25,000"
36603,,,"7,517","17,444",,"24,961"
MOBILE,,,"7,517","17,444",,"24,961"
AL,,,"7,517","17,444",,"24,961"
55352,,,,,"24,936","24,936"
JORDAN,,,,,"24,936","24,936"
MN,,,,,"24,936","24,936"
70809,,,,,"24,591","24,591"
BATON ROUGE,,,,,"24,591","24,591"
LA,,,,,"24,591","24,591"
77630,"24,289",,,,,"24,289"
ORANGE,"24,289",,,,,"24,289"
TX,"24,289",,,,,"24,289"
85637,"24,044",,,,,"24,044"
SONOITA,"24,044",,,,,"24,044"
AZ,"24,044",,,,,"24,044"
36580,,,,"23,826",,"23,826"
SUMMERDALE,,,,"23,826",,"23,826"
AL,,,,"23,826",,"23,826"
77088,,,,"23,551",,"23,551"
"HOUSTON, HARRIS CO.",,,,"23,551",,"23,551"
TX,,,,"23,551",,"23,551"
32206,,"23,420",,,,"23,420"
JACKSONVILLE,,"23,420",,,,"23,420"
FL,,"23,420",,,,"23,420"
60609,,,"23,290",,,"23,290"
CHICAGO,,,"23,290",,,"23,290"
IL,,,"23,290",,,"23,290"
98390,"23,195",,,,,"23,195"
SUMNER,"23,195",,,,,"23,195"
WA,"23,195",,,,,"23,195"
76043,,,,"23,017",,"23,017"
"GLEN ROSE, SOMERVELL",,,,"23,017",,"23,017"
TX,,,,"23,017",,"23,017"
99181,,,,,"22,915","22,915"
VALLEY,,,,,"22,915","22,915"
WA,,,,,"22,915","22,915"
77514,,"22,855",,,,"22,855"
ANAHUAC,,"22,855",,,,"22,855"
TX,,"22,855",,,,"22,855"
77541,,,,"22,696",,"22,696"
FREEPORT,,,,"22,696",,"22,696"
TX,,,,"22,696",,"22,696"
30815,,,,,"22,632","22,632"
HEPHZIBAH,,,,,"22,632","22,632"
GA,,,,,"22,632","22,632"
33704,,,"22,471",,,"22,471"
SAINT PETERSBURG,,,"22,471",,,"22,471"
FL,,,"22,471",,,"22,471"
7751,,,,,"22,460","22,460"
MORGANVILLE,,,,,"22,460","22,460"
NJ,,,,,"22,460","22,460"
43046,,,,,"22,168","22,168"
MILLERSPORT,,,,,"22,168","22,168"
OH,,,,,"22,168","22,168"
75931,,,,"21,733",,"21,733"
BROOKELAND,,,,"21,733",,"21,733"
TX,,,,"21,733",,"21,733"
95452,,,,"21,700",,"21,700"
KENWOOD,,,,"21,700",,"21,700"
CA,,,,"21,700",,"21,700"
35215,,,,"21,618",,"21,618"
CENTER POINT,,,,"21,618",,"21,618"
AL,,,,"21,618",,"21,618"
25311,"21,119",,,,,"21,119"
CHARLESTON,"21,119",,,,,"21,119"
WV,"21,119",,,,,"21,119"
75751,"20,973",,,,,"20,973"
ATHENS,"20,973",,,,,"20,973"
TX,"20,973",,,,,"20,973"
43560,"20,970",,,,,"20,970"
SYLVANIA,"20,970",,,,,"20,970"
OH,"20,970",,,,,"20,970"
24605,,,"20,667",,,"20,667"
BLUEFIELD,,,"20,667",,,"20,667"
VA,,,"20,667",,,"20,667"
70427,,"20,496",,,,"20,496"
BOGALUSA,,"20,496",,,,"20,496"
LA,,"20,496",,,,"20,496"
77078,,,"20,491",,,"20,491"
HOSTON,,,"20,491",,,"20,491"
TX,,,"20,491",,,"20,491"
30025,,,,,"20,330","20,330"
SOCIAL CIRCLE,,,,,"20,330","20,330"
GA,,,,,"20,330","20,330"
95666,"20,250",,,,,"20,250"
PIONEER,"20,250",,,,,"20,250"
CA,"20,250",,,,,"20,250"
85546,,"20,000",,,,"20,000"
SAFFORD,,"20,000",,,,"20,000"
AZ,,"20,000",,,,"20,000"
59058,"20,000",,,,,"20,000"
MOSBY,"20,000",,,,,"20,000"
MT,"20,000",,,,,"20,000"
33444,"19,948",,,,,"19,948"
DELRAY BEACH,"19,948",,,,,"19,948"
FL,"19,948",,,,,"19,948"
70341,,,"19,867",,,"19,867"
BELLE ROSE,,,"19,867",,,"19,867"
LA,,,"19,867",,,"19,867"
78573,,"19,645",,,,"19,645"
ALTON,,"19,645",,,,"19,645"
TX,,"19,645",,,,"19,645"
83709,"19,588",,,,,"19,588"
BOISE,"19,588",,,,,"19,588"
ID,"19,588",,,,,"19,588"
73130,"19,584",,,,,"19,584"
MIDWEST CITY,"19,584",,,,,"19,584"
OK,"19,584",,,,,"19,584"
11704,"19,460",,,,,"19,460"
WEST BABYLON,"19,460",,,,,"19,460"
NY,"19,460",,,,,"19,460"
34135,,,,"19,422",,"19,422"
BONITA SPRINGS,,,,"19,422",,"19,422"
FL,,,,"19,422",,"19,422"
27569,,,,"19,042",,"19,042"
PRINCETON,,,,"19,042",,"19,042"
NC,,,,"19,042",,"19,042"
33010,,"19,014",,,,"19,014"
HIALEAH,,"19,014",,,,"19,014"
FL,,"19,014",,,,"19,014"
88220,"18,865",,,,,"18,865"
CARLSBAD,"18,865",,,,,"18,865"
NM,"18,865",,,,,"18,865"
31525,,,,"18,845",,"18,845"
BRUNSWICK,,,,"18,845",,"18,845"
GA,,,,"18,845",,"18,845"
25550,,,,"18,725",,"18,725"
POINT PLEASANT,,,,"18,725",,"18,725"
WV,,,,"18,725",,"18,725"
29115,"18,641",,,,,"18,641"
ORANGEBURG,"18,641",,,,,"18,641"
SC,"18,641",,,,,"18,641"
90077,"18,566",,,,,"18,566"
LOS ANGELES,"18,566",,,,,"18,566"
CA,"18,566",,,,,"18,566"
36535,,,,"18,432",,"18,432"
FOLEY,,,,"18,432",,"18,432"
AL,,,,"18,432",,"18,432"
70068,,,,"18,181",,"18,181"
LAPLACE,,,,"18,181",,"18,181"
LA,,,,"18,181",,"18,181"
61074,,,,"18,100",,"18,100"
SAVANNA,,,,"18,100",,"18,100"
IL,,,,"18,100",,"18,100"
95553,,"17,990",,,,"17,990"
MIRANDA,,"17,990",,,,"17,990"
CA,,"17,990",,,,"17,990"
70002,,,"17,950",,,"17,950"
METAIRIE,,,"17,950",,,"17,950"
LA,,,"17,950",,,"17,950"
46203,"17,789",,,,,"17,789"
INDIANAPOLIS,"17,789",,,,,"17,789"
IN,"17,789",,,,,"17,789"
77518,,,"17,331",,,"17,331"
BACLIFF,,,"17,331",,,"17,331"
TX,,,"17,331",,,"17,331"
76708,,,,,"17,302","17,302"
"WACO, MCLENNAN CO.",,,,,"17,302","17,302"
TX,,,,,"17,302","17,302"
99207,"17,000",,,,,"17,000"
SPOKANE,"17,000",,,,,"17,000"
WA,"17,000",,,,,"17,000"
78363,,,,"16,521",,"16,521"
KINGSVILLE,,,,"16,521",,"16,521"
TX,,,,"16,521",,"16,521"
75570,,"16,233",,,,"16,233"
NEW BOSTON,,"16,233",,,,"16,233"
TX,,"16,233",,,,"16,233"
55103,,"16,100",,,,"16,100"
SAINT PAUL,,"16,100",,,,"16,100"
MN,,"16,100",,,,"16,100"
30120,,,,"16,080",,"16,080"
CARTERSVILLE,,,,"16,080",,"16,080"
GA,,,,"16,080",,"16,080"
16323,,,,,"16,000","16,000"
FRANKLIN,,,,,"16,000","16,000"
PA,,,,,"16,000","16,000"
29845,,"15,987",,,,"15,987"
PLUM BRANCH,,"15,987",,,,"15,987"
SC,,"15,987",,,,"15,987"
94567,,,,"15,968",,"15,968"
POPE VALLEY,,,,"15,968",,"15,968"
CA,,,,"15,968",,"15,968"
8758,,,,,"15,881","15,881"
WARETOWN,,,,,"15,881","15,881"
NJ,,,,,"15,881","15,881"
8360,,,"15,712",,,"15,712"
VINELAND,,,"15,712",,,"15,712"
NJ,,,"15,712",,,"15,712"
98902,,"4,300",,"11,263",,"15,563"
YAKIMA,,"4,300",,"11,263",,"15,563"
WA,,"4,300",,"11,263",,"15,563"
90272,,,"15,260",,,"15,260"
PACIFIC PALISADES,,,"15,260",,,"15,260"
CA,,,"15,260",,,"15,260"
87583,,,"15,221",,,"15,221"
VILLANUEVA,,,"15,221",,,"15,221"
NM,,,"15,221",,,"15,221"
22408,,,"15,129",,,"15,129"
FREDERICKSBURG,,,"15,129",,,"15,129"
VA,,,"15,129",,,"15,129"
97063,,"15,067",,,,"15,067"
WAMIC,,"15,067",,,,"15,067"
OR,,"15,067",,,,"15,067"
74301,,,"15,046",,,"15,046"
VINITA,,,"15,046",,,"15,046"
OK,,,"15,046",,,"15,046"
97346,,,,"15,000",,"15,000"
GATES,,,,"15,000",,"15,000"
OR,,,,"15,000",,"15,000"
59710,,,,"15,000",,"15,000"
ALDER,,,,"15,000",,"15,000"
MT,,,,"15,000",,"15,000"
75232,,,,"14,915",,"14,915"
DALLAS,,,,"14,915",,"14,915"
TX,,,,"14,915",,"14,915"
31331,,,,"14,850",,"14,850"
TOWNSEND,,,,"14,850",,"14,850"
GA,,,,"14,850",,"14,850"
98921,"14,821",,,,,"14,821"
BUENA,"14,821",,,,,"14,821"
WA,"14,821",,,,,"14,821"
91352,"14,721",,,,,"14,721"
SUN VALLEY,"14,721",,,,,"14,721"
CA,"14,721",,,,,"14,721"
33009,,,,,"14,705","14,705"
HALLANDALE,,,,,"14,705","14,705"
FL,,,,,"14,705","14,705"
34108,"14,581",,,,,"14,581"
NAPLES,"14,581",,,,,"14,581"
FL,"14,581",,,,,"14,581"
38301,"14,474",,,,,"14,474"
JACKSON,"14,474",,,,,"14,474"
TN,"14,474",,,,,"14,474"
11414,,,,"14,351",,"14,351"
HOWARD BEACH,,,,"14,351",,"14,351"
NY,,,,"14,351",,"14,351"
19403,,"14,255",,,,"14,255"
NORRISTOWN,,"14,255",,,,"14,255"
PA,,"14,255",,,,"14,255"
73069,,,,,"14,176","14,176"
NORMAN,,,,,"14,176","14,176"
OK,,,,,"14,176","14,176"
38109,,,"13,721",,,"13,721"
MEMPHIS,,,"13,721",,,"13,721"
TN,,,"13,721",,,"13,721"
32824,,"13,652",,,,"13,652"
ORLANDO,,"13,652",,,,"13,652"
FL,,"13,652",,,,"13,652"
33166,,,"13,589",,,"13,589"
VIRGINIA GARDENS,,,"13,589",,,"13,589"
FL,,,"13,589",,,"13,589"
77551,,,,,"13,537","13,537"
GALVESTON,,,,,"13,537","13,537"
TX,,,,,"13,537","13,537"
77074,,"13,451",,,,"13,451"
HOUSTON,,"13,451",,,,"13,451"
TX,,"13,451",,,,"13,451"
33174,,"13,413",,,,"13,413"
MIAMI,,"13,413",,,,"13,413"
FL,,"13,413",,,,"13,413"
73018,,,,"13,323",,"13,323"
CHICKASHA,,,,"13,323",,"13,323"
OK,,,,"13,323",,"13,323"
23518,,,,"13,275",,"13,275"
NORFOLK,,,,"13,275",,"13,275"
VA,,,,"13,275",,"13,275"
88203,,"13,228",0,,,"13,228"
ROSWELL,,"13,228",0,,,"13,228"
NM,,"13,228",0,,,"13,228"
35775,"13,187",,,,,"13,187"
VALHERMOSO SPRINGS,"13,187",,,,,"13,187"
AL,"13,187",,,,,"13,187"
32427,,,,,"13,145","13,145"
CARYVILLE,,,,,"13,145","13,145"
FL,,,,,"13,145","13,145"
25411,,"12,971",,,,"12,971"
BERKELEY SPRINGS,,"12,971",,,,"12,971"
WV,,"12,971",,,,"12,971"
77465,,"12,954",,,,"12,954"
PALACIOS,,"12,954",,,,"12,954"
TX,,"12,954",,,,"12,954"
37882,,,"12,923",,,"12,923"
TOWNSEND,,,"12,923",,,"12,923"
TN,,,"12,923",,,"12,923"
65109,"12,821",,,,,"12,821"
JEFFERSON CITY,"12,821",,,,,"12,821"
MO,"12,821",,,,,"12,821"
61944,,,"12,692",,,"12,692"
PARIS,,,"12,692",,,"12,692"
IL,,,"12,692",,,"12,692"
87742,"12,682",,,,,"12,682"
ROCIADA,"12,682",,,,,"12,682"
NM,"12,682",,,,,"12,682"
77642,,,,,"12,673","12,673"
PORT ARTHUR,,,,,"12,673","12,673"
TX,,,,,"12,673","12,673"
36612,,,"12,658",,,"12,658"
MOBILE,,,"12,658",,,"12,658"
AL,,,"12,658",,,"12,658"
33027,,,,"12,623",,"12,623"
MIRAMAR,,,,"12,623",,"12,623"
FL,,,,"12,623",,"12,623"
98632,"12,546",,,,,"12,546"
LONGVIEW,"12,546",,,,,"12,546"
WA,"12,546",,,,,"12,546"
31533,,"4,564",,,"7,717","12,281"
DOUGLAS,,"4,564",,,"7,717","12,281"
GA,,"4,564",,,"7,717","12,281"
29710,,"12,148",,,,"12,148"
CLOVER,,"12,148",,,,"12,148"
SC,,"12,148",,,,"12,148"
91342,"12,055",,,,,"12,055"
LAKE VIEW TERRACE,"12,055",,,,,"12,055"
CA,"12,055",,,,,"12,055"
77041,,,,"11,785",,"11,785"
HOUSTON,,,,"11,785",,"11,785"
TX,,,,"11,785",,"11,785"
59860,"11,493",,,,0,"11,493"
POLSON,"11,493",,,,0,"11,493"
MT,"11,493",,,,0,"11,493"
31701,"11,464",,,,,"11,464"
ALBANY,"11,464",,,,,"11,464"
GA,"11,464",,,,,"11,464"
78748,"11,442",,,,,"11,442"
AUSTIN,"11,442",,,,,"11,442"
TX,"11,442",,,,,"11,442"
31002,"11,428",,,,,"11,428"
ADRIAN,"11,428",,,,,"11,428"
GA,"11,428",,,,,"11,428"
96052,,"11,310",,,,"11,310"
LEWISTON,,"11,310",,,,"11,310"
CA,,"11,310",,,,"11,310"
53215,,,,"11,300",,"11,300"
MILWAUKEE,,,,"11,300",,"11,300"
WI,,,,"11,300",,"11,300"
70420,"11,283",,,,,"11,283"
ABITA SPRINGS,"11,283",,,,,"11,283"
LA,"11,283",,,,,"11,283"
32926,"11,246",,,,,"11,246"
COCOA,"11,246",,,,,"11,246"
FL,"11,246",,,,,"11,246"
70663,,"4,982","6,231",,,"11,213"
LAKE CHARLES,,,"6,231",,,"6,231"
LA,,,"6,231",,,"6,231"
SULPHUR,,"4,982",,,,"4,982"
LA,,"4,982",,,,"4,982"
85936,"11,096",,,,,"11,096"
SAINT JOHNS,"11,096",,,,,"11,096"
AZ,"11,096",,,,,"11,096"
38401,,"11,037",,,,"11,037"
COLUMBIA,,"11,037",,,,"11,037"
TN,,"11,037",,,,"11,037"
86401,,"11,000",,,,"11,000"
KINGMAN,,"11,000",,,,"11,000"
AZ,,"11,000",,,,"11,000"
97368,,,,"10,784",,"10,784"
OTIS,,,,"10,784",,"10,784"
OR,,,,"10,784",,"10,784"
28572,"10,651",,,,,"10,651"
PINK HILL,"10,651",,,,,"10,651"
NC,"10,651",,,,,"10,651"
8879,,,"10,647",,,"10,647"
LAURENCE HARBO,,,"10,647",,,"10,647"
NJ,,,"10,647",,,"10,647"
79007,"10,094",,,,,"10,094"
BORGER,"10,094",,,,,"10,094"
TX,"10,094",,,,,"10,094"
63845,,,,"10,000",,"10,000"
EAST PRAIRIE,,,,"10,000",,"10,000"
MO,,,,"10,000",,"10,000"
75119,,"10,000",,,,"10,000"
ENNIS,,"10,000",,,,"10,000"
TX,,"10,000",,,,"10,000"
83856,,,,"9,953",,"9,953"
PRIEST RIVER,,,,"9,953",,"9,953"
ID,,,,"9,953",,"9,953"
7111,,,,"9,740",,"9,740"
IRVINGTON,,,,"9,740",,"9,740"
NJ,,,,"9,740",,"9,740"
36545,,,"9,621",,,"9,621"
JACKSON,,,"9,621",,,"9,621"
AL,,,"9,621",,,"9,621"
84069,,,,,"9,555","9,555"
RUSH VALLEY,,,,,"9,555","9,555"
UT,,,,,"9,555","9,555"
31548,,"9,360",,,,"9,360"
KINGSLAND,,"9,360",,,,"9,360"
GA,,"9,360",,,,"9,360"
98513,"9,326",,,,,"9,326"
OLYMPIA,"9,326",,,,,"9,326"
WA,"9,326",,,,,"9,326"
91001,,,,"9,259",,"9,259"
ALTADENA,,,,"9,259",,"9,259"
CA,,,,"9,259",,"9,259"
77612,,,,"7,370","1,870","9,240"
BUNA,,,,"7,370","1,870","9,240"
TX,,,,"7,370","1,870","9,240"
75060,,"8,981",,,,"8,981"
IRVING,,"8,981",,,,"8,981"
TX,,"8,981",,,,"8,981"
78541,,"8,763",,,,"8,763"
EDINBURG,,"8,763",,,,"8,763"
TX,,"8,763",,,,"8,763"
39560,"8,756",,,,,"8,756"
LONG BEACH,"8,756",,,,,"8,756"
MS,"8,756",,,,,"8,756"
33140,,,,,"8,718","8,718"
MIAMI BEACH,,,,,"8,718","8,718"
FL,,,,,"8,718","8,718"
98937,,,,"8,704",,"8,704"
NACHES,,,,"8,704",,"8,704"
WA,,,,"8,704",,"8,704"
70114,"5,153",,"3,538",,,"8,691"
NEW ORLEANS,"5,153",,"3,538",,,"8,691"
LA,"5,153",,"3,538",,,"8,691"
77327,,"8,604",,,,"8,604"
CLEVELAND,,"8,604",,,,"8,604"
TX,,"8,604",,,,"8,604"
97801,"8,563",,,,,"8,563"
PENDLETON,"8,563",,,,,"8,563"
OR,"8,563",,,,,"8,563"
66801,,,,"8,558",,"8,558"
EMPORIA,,,,"8,558",,"8,558"
KS,,,,"8,558",,"8,558"
85020,,,"8,494",,,"8,494"
PHOENIX,,,"8,494",,,"8,494"
AZ,,,"8,494",,,"8,494"
11747,,"8,480",,,,"8,480"
MELVILLE,,"8,480",,,,"8,480"
NY,,"8,480",,,,"8,480"
98303,,,"8,460",,,"8,460"
ANDERSON ISLAND,,,"8,460",,,"8,460"
WA,,,"8,460",,,"8,460"
64080,"8,360",,,,,"8,360"
PLEASANT HILL,"8,360",,,,,"8,360"
MO,"8,360",,,,,"8,360"
8221,,,,"8,250",,"8,250"
LINWOOD,,,,"8,250",,"8,250"
NJ,,,,"8,250",,"8,250"
4001,,,,"8,219",,"8,219"
ACTON,,,,"8,219",,"8,219"
ME,,,,"8,219",,"8,219"
89108,,,"8,186",,,"8,186"
LAS VEGAS,,,"8,186",,,"8,186"
NV,,,"8,186",,,"8,186"
55013,"8,112",,,,,"8,112"
CHISAGO CITY,"8,112",,,,,"8,112"
MN,"8,112",,,,,"8,112"
75901,,"8,095",,,,"8,095"
LUFKIN,,"8,095",,,,"8,095"
TX,,"8,095",,,,"8,095"
73117,"7,973",,,,,"7,973"
OKLAHOMA CITY,"7,973",,,,,"7,973"
OK,"7,973",,,,,"7,973"
77511,,,,,"7,957","7,957"
ALVIN,,,,,"7,957","7,957"
TX,,,,,"7,957","7,957"
38474,"7,849",,,,,"7,849"
MOUNT PLEASANT,"7,849",,,,,"7,849"
TN,"7,849",,,,,"7,849"
30643,,"7,843",,,,"7,843"
HARTWELL,,"7,843",,,,"7,843"
GA,,"7,843",,,,"7,843"
75067,,,,"7,816",,"7,816"
LEWISVILLE,,,,"7,816",,"7,816"
TX,,,,"7,816",,"7,816"
34947,,,,"7,783",,"7,783"
FORT PIERCE,,,,"7,783",,"7,783"
FL,,,,"7,783",,"7,783"
66701,,,"7,485",,,"7,485"
FORT SCOTT,,,"7,485",,,"7,485"
KS,,,"7,485",,,"7,485"
83704,,,,"7,433",,"7,433"
BOISE,,,,"7,433",,"7,433"
ID,,,,"7,433",,"7,433"
75501,"7,302",,,,,"7,302"
TEXARKANA,"7,302",,,,,"7,302"
TX,"7,302",,,,,"7,302"
76116,,"7,292",,,,"7,292"
FORT WORTH,,"7,292",,,,"7,292"
TX,,"7,292",,,,"7,292"
77029,,,,"7,285",,"7,285"
HOUSTON,,,,"7,285",,"7,285"
TX,,,,"7,285",,"7,285"
77705,,,"7,257",,,"7,257"
BEAUMONT,,,"7,257",,,"7,257"
TX,,,"7,257",,,"7,257"
95526,,,,"7,200",,"7,200"
RUTH,,,,"7,200",,"7,200"
CA,,,,"7,200",,"7,200"
23503,"1,309",,"5,852",,,"7,162"
NORFOLK,"1,309",,"5,852",,,"7,162"
VA,"1,309",,"5,852",,,"7,162"
19973,,"7,128",,,,"7,128"
SEAFORD,,"7,128",,,,"7,128"
DE,,"7,128",,,,"7,128"
66104,,,,"7,063",,"7,063"
KANSAS CITY,,,,"7,063",,"7,063"
KS,,,,"7,063",,"7,063"
39532,"7,047",,,,,"7,047"
DIBERVILLE,"7,047",,,,,"7,047"
MS,"7,047",,,,,"7,047"
33312,"7,041",,,,,"7,041"
FORT LAUDERDALE,"7,041",,,,,"7,041"
FL,"7,041",,,,,"7,041"
32606,,,,,"7,020","7,020"
GAINESVILLE,,,,,"7,020","7,020"
FL,,,,,"7,020","7,020"
62230,"6,988",,,,,"6,988"
BREESE,"6,988",,,,,"6,988"
IL,"6,988",,,,,"6,988"
19401,,"6,897",,,,"6,897"
NORRISTOWN,,"6,897",,,,"6,897"
PA,,"6,897",,,,"6,897"
29301,"6,831",,,,,"6,831"
SPARTANBURG,"6,831",,,,,"6,831"
SC,"6,831",,,,,"6,831"
29437,,,"6,826",,,"6,826"
DORCHESTER,,,"6,826",,,"6,826"
SC,,,"6,826",,,"6,826"
73012,"6,731",,,,,"6,731"
EDMOND,"6,731",,,,,"6,731"
OK,"6,731",,,,,"6,731"
19904,,"6,683",,,,"6,683"
DOVER,,"6,683",,,,"6,683"
DE,,"6,683",,,,"6,683"
78375,,,"6,542",,,"6,542"
PREMONT,,,"6,542",,,"6,542"
TX,,,"6,542",,,"6,542"
30228,"6,500",,,,,"6,500"
HAMPTON,"6,500",,,,,"6,500"
GA,"6,500",,,,,"6,500"
31328,,"6,490",,,,"6,490"
TYBEE ISLAND,,"6,490",,,,"6,490"
GA,,"6,490",,,,"6,490"
98801,,,"6,460",,,"6,460"
WENATCHEE,,,"6,460",,,"6,460"
WA,,,"6,460",,,"6,460"
29483,,"6,408",,,,"6,408"
SUMMERVILLE,,"6,408",,,,"6,408"
SC,,"6,408",,,,"6,408"
77480,"6,277",,,,,"6,277"
SWEENY,"6,277",,,,,"6,277"
TX,"6,277",,,,,"6,277"
39455,"6,238",,,,,"6,238"
LUMBERTON,"6,238",,,,,"6,238"
MS,"6,238",,,,,"6,238"
77011,"6,234",,,,,"6,234"
HOUSTON,"6,234",,,,,"6,234"
TX,"6,234",,,,,"6,234"
76306,"6,232",,,,,"6,232"
WICHITA FALLS,"6,232",,,,,"6,232"
TX,"6,232",,,,,"6,232"
29907,,,,"6,062",,"6,062"
BEAUFORT,,,,"6,062",,"6,062"
SC,,,,"6,062",,"6,062"
79377,,,,"6,000",,"6,000"
"WELCH, DAWSON CO.",,,,"6,000",,"6,000"
TX,,,,"6,000",,"6,000"
33162,,"5,985",,,,"5,985"
MIAMI,,"5,985",,,,"5,985"
FL,,"5,985",,,,"5,985"
28348,,"5,857",,,,"5,857"
HOPE MILLS,,"5,857",,,,"5,857"
NC,,"5,857",,,,"5,857"
23141,,,"5,825",,,"5,825"
QUINTON,,,"5,825",,,"5,825"
VA,,,"5,825",,,"5,825"
34744,,,,,"5,780","5,780"
KISSIMMEE,,,,,"5,780","5,780"
FL,,,,,"5,780","5,780"
43445,,,"5,709",,,"5,709"
OAK HARBOR,,,"5,709",,,"5,709"
OH,,,"5,709",,,"5,709"
98467,"5,418",,,,,"5,418"
TACOMA,"5,418",,,,,"5,418"
WA,"5,418",,,,,"5,418"
33165,"5,400",,,,,"5,400"
MIAMI,"5,400",,,,,"5,400"
FL,"5,400",,,,,"5,400"
70391,,,,"5,325",,"5,325"
PAINCOURTVILLE,,,,"5,325",,"5,325"
LA,,,,"5,325",,"5,325"
33901,"5,193",,,,,"5,193"
FORT MYERS,"5,193",,,,,"5,193"
FL,"5,193",,,,,"5,193"
79512,"5,139",,,,,"5,139"
COLORADO CITY,"5,139",,,,,"5,139"
TX,"5,139",,,,,"5,139"
93105,"5,126",,,,,"5,126"
SANTA BARBARA,"5,126",,,,,"5,126"
CA,"5,126",,,,,"5,126"
70127,"5,109",,,,,"5,109"
NEW ORLEANS,"5,109",,,,,"5,109"
LA,"5,109",,,,,"5,109"
46408,"5,098",,,,,"5,098"
GARY,"5,098",,,,,"5,098"
IN,"5,098",,,,,"5,098"
63877,"5,088",,,,,"5,088"
STEELE,"5,088",,,,,"5,088"
MO,"5,088",,,,,"5,088"
27889,"2,376",,"2,705",,,"5,081"
WASHINGTON,"2,376",,"2,705",,,"5,081"
NC,"2,376",,"2,705",,,"5,081"
85501,,"5,037",,,,"5,037"
GLOBE,,"5,037",,,,"5,037"
AZ,,"5,037",,,,"5,037"
85017,,,"5,027",,,"5,027"
PHOENIX,,,"5,027",,,"5,027"
AZ,,,"5,027",,,"5,027"
40299,,,,,"5,000","5,000"
LOUISVILLE,,,,,"5,000","5,000"
KY,,,,,"5,000","5,000"
59901,"5,000",,,,,"5,000"
KALISPELL,"5,000",,,,,"5,000"
MT,"5,000",,,,,"5,000"
95667,"4,885",,,,,"4,885"
PLACERVILLE,"4,885",,,,,"4,885"
CA,"4,885",,,,,"4,885"
79602,,,"4,781",,,"4,781"
"ABILENE, TAYLOR CO.",,,"4,781",,,"4,781"
TX,,,"4,781",,,"4,781"
30106,,,,"4,749",,"4,749"
AUSTELL,,,,"4,749",,"4,749"
GA,,,,"4,749",,"4,749"
59845,,"4,700",,,,"4,700"
HOT SPRINGS,,"4,700",,,,"4,700"
MT,,"4,700",,,,"4,700"
11968,,,,,"4,541","4,541"
SOUTHAMPTON,,,,,"4,541","4,541"
NY,,,,,"4,541","4,541"
71118,,,,"4,522",,"4,522"
SHREVEPORT,,,,"4,522",,"4,522"
LA,,,,"4,522",,"4,522"
19947,,,"4,497",,,"4,497"
GEORGETOWN,,,"4,497",,,"4,497"
DE,,,"4,497",,,"4,497"
19958,"2,435",,"2,012",,,"4,447"
LEWES,"2,435",,"2,012",,,"4,447"
DE,"2,435",,"2,012",,,"4,447"
29560,"4,349",,,,,"4,349"
LAKE CITY,"4,349",,,,,"4,349"
SC,"4,349",,,,,"4,349"
23707,,,,"4,346",,"4,346"
PORTSMOUTH,,,,"4,346",,"4,346"
VA,,,,"4,346",,"4,346"
85719,,"4,253",,,,"4,253"
SUN,,"4,253",,,,"4,253"
AZ,,"4,253",,,,"4,253"
30206,"4,142",,,,,"4,142"
CONCORD,"4,142",,,,,"4,142"
GA,"4,142",,,,,"4,142"
81055,,"4,010",,,,"4,010"
LA VETA,,"4,010",,,,"4,010"
CO,,"4,010",,,,"4,010"
59401,,,,"3,992",,"3,992"
GREAT FALLS,,,,"3,992",,"3,992"
MT,,,,"3,992",,"3,992"
29556,,"1,255",,"2,689",,"3,944"
KINGSTREE,,"1,255",,"2,689",,"3,944"
SC,,"1,255",,"2,689",,"3,944"
93636,"3,911",,,,,"3,911"
MADERA,"3,911",,,,,"3,911"
CA,"3,911",,,,,"3,911"
77590,0,"3,859",,,,"3,859"
TEXAS CITY,0,"3,859",,,,"3,859"
TX,0,"3,859",,,,"3,859"
23464,,,"3,754",,,"3,754"
VIRGINIA BEACH,,,"3,754",,,"3,754"
VA,,,"3,754",,,"3,754"
86409,,,,,"3,742","3,742"
KINGMAN,,,,,"3,742","3,742"
AZ,,,,,"3,742","3,742"
29439,,"3,661",,,,"3,661"
FOLLY BEACH,,"3,661",,,,"3,661"
SC,,"3,661",,,,"3,661"
84078,,"3,643",,,,"3,643"
